"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.251529055E1,-1.351625025E-1,-9.157499671E-2,9.127249718E-1,9.272118184E-1
4.251727863E1,-1.511124969E-1,-9.377499670E-2,9.277125001E-1,9.446053247E-1
4.251926687E1,-1.671999991E-1,-9.583749622E-2,9.414625168E-1,9.609850862E-1
4.252125495E1,-1.842499971E-1,-9.803749621E-2,9.542499781E-1,9.768072649E-1
4.252324326E1,-2.011625022E-1,-1.023000032E-1,9.649749994E-1,9.910138205E-1
4.252523149E1,-2.182125002E-1,-1.097249985E-1,9.735000134E-1,1.003672530E0
4.252721957E1,-2.343000025E-1,-1.171500012E-1,9.787250161E-1,1.013174847E0
4.252920780E1,-2.502500117E-1,-1.236125007E-1,9.820249677E-1,1.020920249E0
4.253119586E1,-2.641375065E-1,-1.321374923E-1,9.820249677E-1,1.025476463E0
4.253318408E1,-2.789874971E-1,-1.416250020E-1,9.798250198E-1,1.028566349E0
4.253517216E1,-2.928749919E-1,-1.501500010E-1,9.746000171E-1,1.028671948E0
4.253716047E1,-3.056625128E-1,-1.586750001E-1,9.681375027E-1,1.027568758E0
4.253914847E1,-3.162499964E-1,-1.683000028E-1,9.607124925E-1,1.025332846E0
4.254113678E1,-3.247750103E-1,-1.757249981E-1,9.510874748E-1,1.020257549E0
4.254312501E1,-3.312374949E-1,-1.821874976E-1,9.394000173E-1,1.012611947E0
4.254511309E1,-3.343999982E-1,-1.885125041E-1,9.266124964E-1,1.002981077E0
4.254710131E1,-3.364624977E-1,-1.938749999E-1,9.116249681E-1,9.908857706E-1
4.254908939E1,-3.364624977E-1,-1.981374919E-1,8.978750110E-1,9.791041892E-1
4.255107770E1,-3.343999982E-1,-2.023999989E-1,8.850874901E-1,9.675582584E-1
4.255306570E1,-3.290374875E-1,-2.035000026E-1,8.722999692E-1,9.542458570E-1
4.255505392E1,-3.216125071E-1,-2.035000026E-1,8.584125042E-1,9.389988728E-1
4.255704223E1,-3.162499964E-1,-2.055625021E-1,8.445249796E-1,9.249283452E-1
4.255903031E1,-3.151499927E-1,-2.098249942E-1,8.317375183E-1,9.138563046E-1
4.256101854E1,-3.119874895E-1,-2.098249942E-1,8.222500086E-1,9.041337282E-1
4.256300662E1,-3.088249862E-1,-2.044624984E-1,8.115249872E-1,8.920485358E-1
4.256499485E1,-3.056625128E-1,-1.970375031E-1,8.009374738E-1,8.796329838E-1
4.256698291E1,-3.023625016E-1,-1.853500009E-1,7.913125157E-1,8.671523527E-1
4.256897122E1,-2.971374989E-1,-1.703625023E-1,7.827875018E-1,8.544415418E-1
4.257095945E1,-2.939749956E-1,-1.533125043E-1,7.763249874E-1,8.441602384E-1
4.257294753E1,-2.897124887E-1,-1.352999955E-1,7.699999809E-1,8.337501937E-1
4.257493576E1,-2.854500115E-1,-1.160499975E-1,7.636749744E-1,8.234978917E-1
4.257692384E1,-2.800875008E-1,-9.583749622E-2,7.583125234E-1,8.140465078E-1
4.257891207E1,-2.747249901E-1,-7.672499865E-2,7.551500201E-1,8.072249367E-1
4.258090014E1,-2.693625093E-1,-5.637500063E-2,7.518500090E-1,8.006327111E-1
4.258288845E1,-2.641375065E-1,-3.946249932E-2,7.475875020E-1,7.938595495E-1
4.258487668E1,-2.587749958E-1,-2.447500080E-2,7.444249988E-1,7.884999067E-1
4.258686468E1,-2.545124888E-1,-1.168750040E-2,7.412624955E-1,7.838260597E-1
4.258885294E1,-2.491499931E-1,-2.062499989E-3,7.380999923E-1,7.790196221E-1
4.259084102E1,-2.437874973E-1,4.262499977E-3,7.369999886E-1,7.762857051E-1
4.259282925E1,-2.395250052E-1,8.524999954E-3,7.347999811E-1,7.729009743E-1
4.259481733E1,-2.320999950E-1,1.168750040E-2,7.316374779E-1,7.676590418E-1
4.259680556E1,-2.246749997E-1,1.168750040E-2,7.305374742E-1,7.643954829E-1
4.259879387E1,-2.161500007E-1,1.072499994E-2,7.295749784E-1,7.609963847E-1
4.260078187E1,-2.054249942E-1,8.524999954E-3,7.284749746E-1,7.569332154E-1
4.260277018E1,-1.937374920E-1,7.424999960E-3,7.284749746E-1,7.538336256E-1
4.260475826E1,-1.809500009E-1,6.462499965E-3,7.305374742E-1,7.526417925E-1
4.260674649E1,-1.681624949E-1,3.162499983E-3,7.316374779E-1,7.507210035E-1
4.260873457E1,-1.553750038E-1,0.000000000E0,7.327374816E-1,7.490297783E-1
4.261072280E1,-1.425874978E-1,0.000000000E0,7.347999811E-1,7.485066511E-1
4.261271089E1,-1.297999918E-1,1.099999994E-3,7.380999923E-1,7.494270121E-1
4.261469920E1,-1.181124970E-1,3.162499983E-3,7.423624992E-1,7.517064877E-1
4.261668743E1,-1.075249985E-1,5.362499971E-3,7.466250062E-1,7.543469239E-1
4.261867550E1,-9.679999948E-2,8.524999954E-3,7.508875132E-1,7.571492409E-1
4.262066373E1,-8.731249720E-2,1.072499994E-2,7.561125159E-1,7.612126080E-1
4.262265181E1,-7.878749818E-2,1.278750040E-2,7.636749744E-1,7.678349150E-1
4.262464004E1,-7.232499868E-2,1.498750038E-2,7.699999809E-1,7.735344215E-1
4.262662812E1,-6.696250290E-2,1.814999990E-2,7.763249874E-1,7.794189409E-1
4.262861642E1,-6.270000339E-2,2.131249942E-2,7.848500013E-1,7.876389005E-1
4.263060465E1,-6.063750014E-2,2.241249941E-2,7.933750153E-1,7.960044858E-1
4.263259273E1,-5.843750015E-2,2.447500080E-2,8.009374738E-1,8.034393592E-1
4.263458073E1,-5.527500063E-2,2.777500078E-2,8.094624877E-1,8.118228226E-1
4.263656907E1,-5.321250111E-2,3.093750030E-2,8.168874979E-1,8.192032003E-1
4.263855730E1,-5.211250111E-2,3.299999982E-2,8.232125044E-1,8.255201634E-1
4.264054538E1,-4.991250113E-2,3.629999980E-2,8.307750225E-1,8.330642747E-1
4.264253360E1,-4.675000161E-2,3.946249932E-2,8.370999694E-1,8.393325981E-1
4.264452168E1,-4.358749837E-2,4.262499884E-2,8.424624801E-1,8.446654905E-1
4.264650991E1,-4.042499885E-2,4.578749835E-2,8.467249870E-1,8.489251317E-1
4.264849820E1,-3.712499887E-2,5.004999787E-2,8.509874940E-1,8.532660680E-1
4.265048628E1,-3.506249934E-2,5.431250110E-2,8.541499972E-1,8.565929281E-1
4.265247450E1,-3.286249936E-2,6.077500060E-2,8.563500047E-1,8.591326295E-1
4.265446258E1,-3.189999983E-2,6.599999964E-2,8.573125005E-1,8.604407786E-1
4.265645081E1,-3.189999983E-2,7.136250287E-2,8.573125005E-1,8.608687126E-1
4.265843889E1,-3.396249935E-2,7.452499866E-2,8.563500047E-1,8.602573785E-1
4.266042710E1,-3.712499887E-2,7.782500237E-2,8.530499935E-1,8.573968089E-1
4.266241541E1,-4.042499885E-2,8.098749816E-2,8.509874940E-1,8.557878653E-1
4.266440349E1,-4.564999789E-2,8.415000141E-2,8.487874866E-1,8.541693874E-1
4.266639149E1,-5.211250111E-2,8.951249719E-2,8.467249870E-1,8.530365781E-1
4.266837980E1,-5.953750014E-2,9.377499670E-2,8.435624838E-1,8.508443618E-1
4.267036803E1,-6.696250290E-2,9.803749621E-2,8.424624801E-1,8.507869050E-1
4.267235611E1,-7.548750192E-2,1.011999995E-1,8.402624726E-1,8.496945485E-1
4.267434434E1,-8.401250094E-2,1.011999995E-1,8.392999768E-1,8.495434017E-1
4.267633242E1,-9.363749623E-2,1.000999957E-1,8.381999731E-1,8.493333767E-1
4.267832072E1,-1.042250022E-1,9.803749621E-2,8.392999768E-1,8.514098031E-1
4.268030873E1,-1.160499975E-1,9.377499670E-2,8.392999768E-1,8.524586811E-1
4.268229703E1,-1.255374998E-1,8.731249720E-2,8.392999768E-1,8.531163972E-1
4.268428525E1,-1.351625025E-1,7.988750190E-2,8.392999768E-1,8.538591020E-1
4.268627333E1,-1.447875053E-1,7.246249914E-2,8.392999768E-1,8.547740559E-1
4.268826156E1,-1.522125006E-1,6.503749639E-2,8.402624726E-1,8.564108501E-1
4.269024964E1,-1.586750001E-1,5.747500062E-2,8.402624726E-1,8.570426794E-1
4.269223786E1,-1.639000028E-1,5.115000159E-2,8.413624763E-1,8.587027135E-1
4.269422594E1,-1.660999954E-1,4.372499883E-2,8.424624801E-1,8.597930648E-1
4.269621425E1,-1.681624949E-1,3.836249933E-2,8.445249796E-1,8.619586691E-1
4.269820248E1,-1.681624949E-1,3.519999981E-2,8.478249907E-1,8.650577320E-1
4.270019056E1,-1.660999954E-1,3.519999981E-2,8.487874866E-1,8.656029377E-1
4.270217879E1,-1.639000028E-1,3.519999981E-2,8.498874903E-1,8.662626605E-1
4.270416687E1,-1.586750001E-1,3.629999980E-2,8.498874903E-1,8.653347282E-1
4.270615510E1,-1.511124969E-1,4.056249931E-2,8.509874940E-1,8.652514189E-1
4.270814318E1,-1.425874978E-1,4.895000160E-2,8.520874977E-1,8.653209815E-1
4.271013149E1,-1.351625025E-1,5.967500061E-2,8.541499972E-1,8.668346010E-1
4.271211972E1,-1.255374998E-1,6.929999590E-2,8.541499972E-1,8.661029795E-1
4.271410772E1,-1.149500012E-1,7.988750190E-2,8.552500010E-1,8.666303017E-1
4.271609603E1,-1.053249985E-1,9.157499671E-2,8.584125042E-1,8.696846340E-1
4.271808411E1,-9.583749622E-2,1.023000032E-1,8.626750112E-1,8.739898691E-1
4.272007235E1,-8.621250093E-2,1.108250022E-1,8.680375218E-1,8.793201441E-1
4.272206042E1,-7.768750191E-2,1.182499975E-1,8.754624724E-1,8.868218257E-1
4.272404865E1,-6.916250288E-2,1.247124970E-1,8.839874864E-1,8.954164030E-1
4.272603673E1,-6.063750014E-2,1.289750040E-1,8.945749998E-1,9.058564392E-1
4.272802504E1,-5.321250111E-2,1.310375035E-1,9.073625207E-1,9.183186492E-1
4.273001327E1,-4.675000161E-2,1.321374923E-1,9.201499820E-1,9.307641317E-1
4.273200135E1,-3.932499886E-2,1.321374923E-1,9.351375103E-1,9.452454367E-1
4.273398958E1,-3.189999983E-2,1.321374923E-1,9.510874748E-1,9.607524716E-1
4.273597766E1,-2.337500080E-2,1.332374960E-1,9.670374990E-1,9.764528383E-1
4.273796589E1,-1.484999992E-2,1.332374960E-1,9.840874672E-1,9.931771725E-1
4.273995397E1,-6.324999966E-3,1.321374923E-1,1.003337502E0,1.012020981E0
4.274194227E1,3.299999982E-3,1.332374960E-1,1.023550034E0,1.032190773E0
4.274393052E1,1.182499994E-2,1.342000067E-1,1.043762445E0,1.052420788E0
