"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.202512360E-1,4.995000362E-2,-2.280000150E-1,1.007295036E1,1.007565422E1
2.222388470E-1,5.700000376E-2,-1.990500093E-1,1.007295036E1,1.007507811E1
2.242263100E-1,5.505000427E-2,-2.010000050E-1,1.006395054E1,1.006610808E1
2.262136180E-1,5.295000225E-2,-1.990500093E-1,1.004700089E1,1.004911197E1
2.282010010E-1,4.305000231E-2,-1.819500029E-1,1.003995037E1,1.004169122E1
2.301881570E-1,6.495000422E-2,-1.939500123E-1,1.006605053E1,1.006812835E1
2.321755390E-1,4.800000042E-2,-1.920000017E-1,1.003995037E1,1.004190079E1
2.341628780E-1,6.705000252E-2,-1.819500029E-1,1.005900002E1,1.006086889E1
2.361502600E-1,5.700000376E-2,-1.699500084E-1,1.005405045E1,1.005564828E1
2.381376450E-1,4.095000029E-2,-1.969500035E-1,1.007100010E1,1.007300894E1
2.401248010E-1,4.500000179E-2,-2.040000111E-1,1.007595062E1,1.007811599E1
2.421121840E-1,3.600000218E-2,-1.969500035E-1,1.006800079E1,1.006999132E1
2.440995680E-1,2.205000073E-2,-2.059500068E-1,1.007295036E1,1.007507968E1
2.460871880E-1,7.050000131E-3,-1.870500147E-1,1.008495045E1,1.008668741E1
2.480745740E-1,1.395000052E-2,-1.920000017E-1,1.009500027E1,1.009683559E1
2.500619590E-1,1.005000062E-2,-2.010000050E-1,1.006395054E1,1.006596257E1
2.520494180E-1,1.005000062E-2,-1.969500035E-1,1.009005070E1,1.009197767E1
2.540370340E-1,1.005000062E-2,-2.040000111E-1,1.010400009E1,1.010606426E1
2.560244970E-1,-1.050000079E-3,-2.059500068E-1,1.009005070E1,1.009215238E1
2.580118870E-1,7.050000131E-3,-2.130000144E-1,1.011195087E1,1.011419642E1
2.599992720E-1,4.950000439E-3,-2.010000050E-1,1.009995079E1,1.010195186E1
2.619866560E-1,0.000000000E0,-2.130000144E-1,1.009005070E1,1.009229865E1
2.639742700E-1,4.950000439E-3,-2.010000050E-1,1.008795071E1,1.008995416E1
2.659617330E-1,1.005000062E-2,-2.089500129E-1,1.009005070E1,1.009221899E1
2.679491180E-1,1.395000052E-2,-1.969500035E-1,1.007295036E1,1.007488526E1
2.699364880E-1,1.005000062E-2,-1.969500035E-1,1.007595062E1,1.007788030E1
2.719238730E-1,1.200000010E-2,-1.990500093E-1,1.006095028E1,1.006292629E1
2.739111810E-1,1.905000024E-2,-1.939500123E-1,1.006800079E1,1.006988677E1
2.758983340E-1,3.600000218E-2,-1.800000072E-1,1.004895020E1,1.005062665E1
2.778856400E-1,2.205000073E-2,-1.870500147E-1,1.006395054E1,1.006571281E1
2.798724880E-1,1.200000010E-2,-1.800000072E-1,1.008000088E1,1.008161503E1
2.818598660E-1,2.895000204E-2,-1.920000017E-1,1.004895020E1,1.005082594E1
2.838471740E-1,2.595000155E-2,-1.920000017E-1,1.006605053E1,1.006791491E1
2.858345580E-1,1.200000010E-2,-1.849500090E-1,1.006605053E1,1.006775664E1
2.878219430E-1,2.895000204E-2,-1.750500053E-1,1.005900002E1,1.006056469E1
2.898093280E-1,2.895000204E-2,-1.800000072E-1,1.005195045E1,1.005360363E1
2.917967890E-1,1.905000024E-2,-1.849500090E-1,1.005405045E1,1.005576948E1
2.937844040E-1,3.600000218E-2,-1.870500147E-1,1.009500027E1,1.009679722E1
2.957717910E-1,2.205000073E-2,-1.939500123E-1,1.008000088E1,1.008189072E1
2.977592510E-1,1.005000062E-2,-2.040000111E-1,1.007295036E1,1.007502089E1
2.997466370E-1,1.200000010E-2,-2.160000056E-1,1.007595062E1,1.007827272E1
3.017340220E-1,3.105000220E-2,-2.089500129E-1,1.008795071E1,1.009016222E1
3.037213300E-1,1.695000008E-2,-2.110500038E-1,1.009200001E1,1.009422080E1
3.057084920E-1,1.695000008E-2,-2.160000056E-1,1.009695053E1,1.009927489E1
3.076955690E-1,2.895000204E-2,-2.010000050E-1,1.007805061E1,1.008009639E1
3.096829520E-1,2.400000021E-2,-2.299500108E-1,1.008000088E1,1.008265197E1
3.116705670E-1,2.895000204E-2,-2.089500129E-1,1.009200001E1,1.009420439E1
3.136576460E-1,2.205000073E-2,-2.059500068E-1,1.006095028E1,1.006308214E1
3.156450290E-1,2.205000073E-2,-2.130000144E-1,1.006395054E1,1.006622847E1
3.176324140E-1,3.795000166E-2,-1.920000017E-1,1.006800079E1,1.006990289E1
3.196194920E-1,3.105000220E-2,-2.040000111E-1,1.007100010E1,1.007311387E1
3.216068750E-1,3.600000218E-2,-1.969500035E-1,1.006605053E1,1.006804145E1
3.235940310E-1,4.305000231E-2,-2.209500074E-1,1.006605053E1,1.006856720E1
3.255813370E-1,4.095000029E-2,-1.969500035E-1,1.006605053E1,1.006806036E1
3.275684920E-1,3.795000166E-2,-1.990500093E-1,1.005900002E1,1.006104082E1
3.295558750E-1,5.295000225E-2,-2.059500068E-1,1.006800079E1,1.007024623E1
3.315431850E-1,3.795000166E-2,-2.059500068E-1,1.005900002E1,1.006117970E1
3.335303390E-1,3.405000269E-2,-1.819500029E-1,1.005600071E1,1.005770428E1
3.355174160E-1,4.305000231E-2,-1.990500093E-1,1.005600071E1,1.005806266E1
3.375047210E-1,1.695000008E-2,-1.890000105E-1,1.007595062E1,1.007773731E1
3.394918000E-1,1.695000008E-2,-1.890000105E-1,1.007100010E1,1.007278766E1
3.414789330E-1,1.005000062E-2,-1.920000017E-1,1.007805061E1,1.007988438E1
3.434662410E-1,2.595000155E-2,-1.990500093E-1,1.007595062E1,1.007794995E1
3.454533970E-1,4.950000439E-3,-1.990500093E-1,1.006395054E1,1.006592002E1
3.474407020E-1,1.200000010E-2,-1.969500035E-1,1.009005070E1,1.009197980E1
3.494278580E-1,1.395000052E-2,-1.939500123E-1,1.008000088E1,1.008187626E1
3.514151640E-1,2.205000073E-2,-1.890000105E-1,1.008000088E1,1.008179671E1
3.534023150E-1,1.200000010E-2,-1.990500093E-1,1.007595062E1,1.007792369E1
3.553896200E-1,1.695000008E-2,-2.010000050E-1,1.007805061E1,1.008006907E1
3.573766990E-1,7.050000131E-3,-1.870500147E-1,1.008795071E1,1.008968715E1
3.593640820E-1,2.205000073E-2,-2.089500129E-1,1.007595062E1,1.007814106E1
3.613512380E-1,7.050000131E-3,-1.870500147E-1,1.008795071E1,1.008968715E1
3.633385430E-1,1.395000052E-2,-1.890000105E-1,1.008000088E1,1.008178225E1
3.653259030E-1,1.695000008E-2,-2.010000050E-1,1.008795071E1,1.008996718E1
3.673129820E-1,1.005000062E-2,-1.870500147E-1,1.007595062E1,1.007769168E1
3.693000590E-1,1.695000008E-2,-1.750500053E-1,1.005195045E1,1.005348883E1
3.712874420E-1,1.695000008E-2,-1.819500029E-1,1.006095028E1,1.006260968E1
3.732749030E-1,1.200000010E-2,-1.849500090E-1,1.006395054E1,1.006565701E1
3.752622900E-1,1.905000024E-2,-1.770000011E-1,1.006605053E1,1.006762460E1
3.772496690E-1,1.200000010E-2,-1.870500147E-1,1.006095028E1,1.006269607E1
3.792370540E-1,3.600000218E-2,-1.819500029E-1,1.006095028E1,1.006265980E1
3.812244390E-1,2.595000155E-2,-1.800000072E-1,1.007295036E1,1.007459192E1
3.832118230E-1,1.905000024E-2,-1.849500090E-1,1.008000088E1,1.008171548E1
3.851991310E-1,1.695000008E-2,-1.870500147E-1,1.006605053E1,1.006780255E1
3.871865140E-1,2.400000021E-2,-2.040000111E-1,1.004895020E1,1.005104930E1
3.891738930E-1,1.200000010E-2,-2.010000050E-1,1.006095028E1,1.006296505E1
3.911612780E-1,2.400000021E-2,-1.890000105E-1,1.006800079E1,1.006980322E1
3.931486620E-1,2.595000155E-2,-1.819500029E-1,1.007805061E1,1.007972635E1
3.951360470E-1,2.205000073E-2,-1.870500147E-1,1.009200001E1,1.009375738E1
3.971235090E-1,2.205000073E-2,-1.890000105E-1,1.007100010E1,1.007279754E1
3.991108180E-1,2.595000155E-2,-1.660500020E-1,1.006605053E1,1.006745346E1
