Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Temp,Humi
69,0.34,-0.02572808,-0.0548135,1.003303,247.852,-532.0886,-230.6029,-0.1345183,0.6053315,-0.05548495,24.53657,55.07064
70,0.345,-0.02435931,-0.05764844,1.004687,232.4301,-536.4227,-211.4615,-0.1275669,0.6138176,-0.04802484,24.53601,55.05125
71,0.35,-0.02569883,-0.05602197,1.000471,186.919,-527.0795,-215.1497,-0.1284855,0.6166607,-0.04526039,24.5361,55.03638
72,0.355,-0.02533941,-0.05758499,1.002522,237.3117,-558.9755,-202.4708,-0.13507,0.6153177,-0.04802556,24.53687,55.02649
73,0.36,-0.02709787,-0.05543229,0.9974157,133.3086,-485.1971,-193.4822,-0.1379978,0.6122596,-0.051661,24.53831,55.02186
74,0.365,-0.0256165,-0.05580381,0.9997857,229.8676,-551.5334,-197.9974,-0.136571,0.6108151,-0.05402735,24.54039,55.02267
75,0.37,-0.02689265,-0.05725191,0.9981226,239.0184,-581.1552,-273.9734,-0.1360203,0.6067407,-0.05376364,24.54308,55.02893
76,0.375,-0.02433331,-0.05511829,0.998314,206.9669,-537.8397,-257.367,-0.139573,0.6048134,-0.04952503,24.54633,55.04052
77,0.38,-0.02500796,-0.05559961,1.000871,222.0993,-518.8738,-276.0576,-0.1436322,0.6055297,-0.04413061,24.55007,55.05711
78,0.385,-0.02043381,-0.05490027,0.9948998,107.5381,-531.9129,-218.2078,-0.1455747,0.6093153,-0.04502486,24.55335,55.07627
79,0.39,-0.02505145,-0.05610954,1.001877,145.6027,-534.9858,-191.8353,-0.1442939,0.6100156,-0.05230275,24.54661,55.07613
80,0.395,-0.02243439,-0.05446205,0.9951277,129.6866,-569.4938,-231.433,-0.1410722,0.6108163,-0.05702891,24.54033,55.07981
81,0.4,-0.02547834,-0.05776122,0.9995376,233.0908,-536.1609,-181.9008,-0.1370126,0.6114857,-0.05460444,24.53465,55.08707
82,0.405,-0.02362686,-0.05508806,0.9911314,243.3147,-553.6768,-188.1141,-0.1350701,0.6138175,-0.05252795,24.52967,55.09755
83,0.41,-0.02392198,-0.05726584,0.9977722,256.6482,-531.4619,-235.516,-0.1353502,0.613535,-0.05586698,24.5255,55.11076
84,0.415,-0.0216261,-0.05551625,0.9940327,265.3772,-584.3788,-292.5657,-0.1365706,0.6138172,-0.05852929,24.5222,55.12619
85,0.42,-0.02422773,-0.05359534,0.9979287,315.2676,-503.1972,-273.703,-0.136569,0.6130447,-0.05476222,24.5198,55.14322
86,0.425,-0.0231213,-0.05559867,0.9957476,223.2041,-582.7476,-213.3387,-0.1365706,0.6123159,-0.05102738,24.51837,55.16125
87,0.43,-0.02369243,-0.05388205,0.9954486,189.0842,-553.7958,-229.7354,-0.1367475,0.6082757,-0.05393036,24.51789,55.17966
88,0.435,-0.02491757,-0.05560812,0.9971522,207.989,-549.5004,-247.4225,-0.1365702,0.6063142,-0.05852929,24.51837,55.19786
89,0.44,-0.02475548,-0.05476519,0.9940649,142.4469,-522.2936,-208.4403,-0.1346771,0.6069779,-0.05657926,24.51979,55.2153
90,0.445,-0.02687584,-0.05567727,0.9972492,129.57,-558.3294,-245.2236,-0.1335699,0.6108151,-0.05102639,24.52212,55.23148
91,0.45,-0.0252013,-0.05319045,0.9948032,160.1219,-546.5958,-183.4013,-0.1352665,0.6098024,-0.04929559,24.52529,55.24597
92,0.455,-0.02468626,-0.05499041,0.9986464,167.6836,-538.4694,-186.1865,-0.1395722,0.6048122,-0.0510258,24.52923,55.25838
93,0.46,-0.02605514,-0.05396698,0.9990132,169.9801,-540.9578,-249.5114,-0.141809,0.5987254,-0.04999016,24.53384,55.26847
94,0.465,-0.02571594,-0.05410327,0.9978706,227.5169,-492.929,-206.1571,-0.139571,0.6003119,-0.04652465,24.539,55.27598
95,0.47,-0.02704011,-0.05566233,0.9999261,221.4454,-567.7744,-191.4967,-0.134029,0.6058762,-0.04626694,24.5334,55.25558
96,0.475,-0.0259892,-0.05452904,0.996921,181.064,-501.0306,-139.6078,-0.1305681,0.6108155,-0.05102699,24.52833,55.23309
97,0.48,-0.02633999,-0.05696372,1.00052,282.032,-512.6227,-167.3383,-0.1313745,0.6091644,-0.05554618,24.52391,55.20916
